# name,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name,star_distance,star_metallicity,star_mass,star_sp_type
55 Cnc b,14.65314,0.11339,0.0023,1996,Radial Velocity,55 Cnc,12.34,0.31,1.015,K0IV-V
55 Cnc c,44.373,0.23735,0.072,2002,Radial Velocity,55 Cnc,12.34,0.31,1.015,K0IV-V
55 Cnc d,4867,5.446,0.0269,2002,Radial Velocity,55 Cnc,12.34,0.31,1.015,K0IV-V
55 Cnc e,0.7365478,0.015439,0.028,2004,Primary Transit,55 Cnc,12.34,0.31,1.015,K0IV-V
55 Cnc f,260.91,0.7733,0.08,2007,Radial Velocity,55 Cnc,12.34,0.31,1.015,K0IV-V
6 Lyn b,899,2.2,0.134,2008,Radial Velocity,6 Lyn,56.9,-0.13,1.7,K0IV
61 Vir b,4.215,0.050201,0.12,2009,Radial Velocity,61 Vir,8.52,-0.01,0.95,G5V
61 Vir c,38.021,0.2175,0.14,2009,Radial Velocity,61 Vir,8.52,-0.01,0.95,G5V
61 Vir d,123.01,0.476,0.35,2009,Radial Velocity,61 Vir,8.52,-0.01,0.95,G5V
7 CMA c,988.9,2.143,0.046,2019,Radial Velocity,7 CMa,19.75,0.21,1.52,K1 III
7 CMa b,736.9,1.761,0.055,2011,Radial Velocity,7 CMa,19.75,0.21,1.52,K1 III
70 Vir b,116.67,0.48,0.43,1996,Radial Velocity,70 Vir,22,-0.11,0.92,G4 V
75 Cet b,691.9,2.1,,2012,Radial Velocity,75 Cet,81.5,0,2.49,G3III
8 Umi b,93.4,0.49,0.06,2015,Radial Velocity,8 Umi,159.1,-0.03,1.8,K0
81 Cet b,952.7,2.5,0.206,2008,Radial Velocity,81 Cet,97.2,-0.06,2.4,G5III
91 Aqr b,181.4,0.7,0.027,2003,Radial Velocity,91 Aqr,45.9,-0.03,1.4,K0 III
AD 3116 b,1.982796,,0.146,2017,Primary Transit,AD 3116,186.54,,0.276,M3.9
AD Leo b,2.22599,0.025,0.03,2019,Radial Velocity,AD Leo,4.966,,,M4V
AS 205 A b,24.84,0.162,0.35,2017,Radial Velocity,AS 205A,140,0,0.9,K5
BD+03 2562 b,481.9,1.3,0.2,2017,Radial Velocity,BD+03 2562,2618,-0.71,1.14,
BD+14 4559 b,268.94,0.777,0.29,2009,Radial Velocity,BD+14 4559,50,0.1,0.86,K2V
BD+15 2375 b,153.22,0.576,0.001,2016,Radial Velocity,BD+15 2375,774,-0.22,1.08,
BD+15 2940 b,137.48,0.539,0.26,2013,Radial Velocity,BD+15 2940,585,0.28,1.1,K0
BD+20 2457 b,379.63,1.45,0.15,2009,Radial Velocity,BD+20 2457,200,-1,2.8,K2II
BD+20 2457 c,621.99,2.01,0.18,2009,Radial Velocity,BD+20 2457,200,-1,2.8,K2II
BD+20 274 c,578.2,1.3,,2012,Radial Velocity,BD+20 274,,-0.46,0.8,K5
BD+20 594 b,41.6855,0.241,0,2016,Primary Transit,BD+20 594,152.1,-0.15,0.961,K0 
BD+24 4697 b,145.081,0.5,0.50048,2016,Radial Velocity,BD+24 4697,44.7922,-0.11,0.75,K2V
BD+26 1888 b,536.78,1.19,0.2675,2016,Radial Velocity,BD+26 1888,38,0.02,0.76,K7
BD+48 738 b,392.6,1,0.2,2011,Radial Velocity,BD +48 738,,-0.2,0.74,K0III
BD+49 828 b,2590,4.2,0.35,2015,Radial Velocity,BD+49 828,,-0.19,1.52,KO
BD-06 1339 b,3.8728,0.0428,0.08,2013,Radial Velocity,BD-06 1339,20,-0.14,0.7,K7V/M0V
BD-06 1339 c,125.26,0.435,0.11,2013,Radial Velocity,BD-06 1339,20,-0.14,0.7,K7V/M0V
BD-06 1339 d,487,1.06,0.02,2014,Radial Velocity,BD-06 1339,20,-0.14,0.7,K7V/M0V
BD-08 2823 b,5.6,0.056,0.15,2009,Radial Velocity,BD-08 2823,42.2,-0.07,0.74,K3V
BD-08 2823 c,237.6,0.68,0.19,2009,Radial Velocity,BD-08 2823,42.2,-0.07,0.74,K3V
BD-10 3166 b,3.4878,0.046,0.0104,2000,Radial Velocity,BD-10 3166,66,0.5,0.99,G4 V
BD-11 4672 b,1667,2.28,0.05,2010,Radial Velocity,BD-11 4672,27.3,-0.48,0.571,K7V
BD-17 63 b,655.6,1.34,0.54,2008,Radial Velocity,BD-17 63,34.6,-0.03,0.74,K5V
Barnard's  b,232.8,,0.32,2018,Radial Velocity,Barnard's star,1.8,,0.163,M4V
CI Tau b,8.9891,,0.25,2016,Radial Velocity,CI Tau,158,,0.9,K4IV
CVSO 30 b ,0.448413,0.00838,,2012,Primary Transit,CVSO 30,330,,0.39,M3 PMS
Cha Ha 8 b,1895,1.02,0.59,2007,Radial Velocity,Cha Ha 8,196.76,,0.085,M6.5
CoRoT-1 b,1.5089557,0.0254,0,2007,Primary Transit,CoRoT-1,460,0.06,0.95,G0V
CoRoT-10 b,13.2406,0.1055,0.53,2010,Primary Transit,CoRoT-10,345,0.26,0.89,K1V
CoRoT-11 b,2.994325,0.04351,0,2010,Primary Transit,CoRoT-11,560,0.04,1.27,F6V
CoRoT-12 b,2.828042,0.04016,0.07,2010,Primary Transit,CoRoT-12,1150,0.16,1.078,G2V
CoRoT-13 b,4.03519,0.051,0,2010,Primary Transit,CoRoT-13,1310,0.01,1.09,G0V
CoRoT-14 b,1.51214,0.027,0,2010,Primary Transit,CoRoT-14,1340,0.05,1.13,F9V
CoRoT-15 b,3.06036,0.045,0,2010,Primary Transit,CoRoT-15,,,,F7V
CoRoT-16 b,5.35227,0.0618,0.33,2010,Primary Transit,CoRoT-16,840,0.19,1.098,G5V
CoRoT-17 b,3.768125,0.0461,0,2010,Primary Transit,CoRoT-17,920,0,1.04,G2V
CoRoT-18 b,1.9000693,0.0295,0.08,2011,Primary Transit,CoRoT-18,870,-0.1,0.95,G9V
CoRoT-19 b,3.89713,0.0518,0.047,2011,Primary Transit,CoRoT-19,800,-0.02,1.21,F9V
CoRoT-2 b,1.7429964,0.0281,0,2007,Primary Transit,CoRoT-2,300,-0.04,0.97,G7V
CoRoT-20 b,9.24285,0.0902,0.562,2011,Primary Transit,CoRoT-20,1230,0.14,1.14,G2V
CoRoT-21 b,2.72474,0.0417,0,2011,Primary Transit,CoRoT-21,,0,1.29,F8IV
CoRoT-22 b,9.75598,0.092,0.077,2011,Primary Transit,CoRoT-22,592,0.17,1.099,G0IV
CoRoT-23 b,3.6314,0.0477,0.16,2011,Primary Transit,CoRoT-23,600,0.05,1.14,G0V
CoRoT-24 b,5.1134,0.056,0,2011,Primary Transit,CoRoT-24,600,0.3,0.91,K1V
CoRoT-24 c,11.759,0.098,0,2011,Primary Transit,CoRoT-24,600,0.3,0.91,K1V
CoRoT-25 b,4.86069,0.0578,,2012,Primary Transit,CoRoT-25,1000,-0.01,1.09,G0V
CoRoT-26 b,4.20474,0.0526,0,2012,Primary Transit,CoRoT-26,1670,0.01,1.09,G8IV
CoRoT-27 b,3.57532,0.0476,0.065,2012,Primary Transit,CoRoT-27,,0.1,1.05,G2
CoRoT-28 b,5.20851,0.059,0.047,2012,Primary Transit,CoRoT-28,560,0.15,1.01,G8/9IV
CoRoT-29 b,2.85057,0.039,0.082,2012,Primary Transit,CoRoT-29,765,0.2,0.976,KOV
CoRoT-3 b,4.2567994,0.057,0,2008,Primary Transit,CoRoT-3,680,0.14,1.41,F3V
CoRoT-30 b,9.06005,0.0844,0.007,2017,Primary Transit,CoRoT-30,960,0.02,0.98,G3V
CoRoT-31 b,4.62941,0.0586,0.02,2017,Primary Transit,CoRoT-31,2190,0,1.25,G2IV
CoRoT-32 b,6.71837,0.071,,2017,Primary Transit,CoRoT-32,,0,1.09,G0VI
CoRoT-33 b,5.819143,0.0579,0.07,2015,Primary Transit,CoRoT-33,,0.44,0.86,G9V
CoRoT-4 b,9.20205,0.09,0,2008,Primary Transit,CoRoT-4,,0.05,1.1,F8V
CoRoT-5 b,4.0378962,0.04947,0.09,2008,Primary Transit,CoRoT-5,400,-0.25,1,F9V
CoRoT-6 b,8.886593,0.0855,0.1,2009,Primary Transit,CoRoT-6,,-0.2,1.055,F9V
CoRoT-7 b,0.853585,0.0172,0.12,2009,Primary Transit,CoRoT-7,150,0.03,0.93,K0V
CoRoT-7 c,3.698,0.046,0.12,2009,Radial Velocity,CoRoT-7,150,0.03,0.93,K0V
CoRoT-8 b,6.21229,0.063,0,2010,Primary Transit,CoRoT-8,380,0.3,0.88,K1V
CoRoT-9 b,95.273804,0.407,0.133,2010,Primary Transit,CoRoT-9,460,-0.01,0.99,G3V
Corot-20 c,1675,2.9,0.6,2018,Radial Velocity,CoRoT-20,1230,0.14,1.14,G2V
DS Tuc A b,8.138268,0.0795,,2019,Primary Transit,DS Tuc A,44.12,-0.08,0.959,G6V
DW Lyn b,,1.148,,2013,Radial Velocity,DW Lyn,,,,SdB D
DW Uma b,4967,5.8,,2016,Radial Velocity,DW Uma,,,,M3
EPIC  211945201 b,19.49213,0.148,0,2018,Primary Transit,EPIC  211945201,182.6,0.1,1.18,
EPIC 201128338 b,32.6527,0.1735,,2017,Primary Transit,EPIC 201128338,112,0.09,0.654,M0.0V
EPIC 201295312 b,5.65639,,0.12,2016,Primary Transit,EPIC 201295312,,0.13,1.13,
EPIC 201598502 b,7.51554,0.601,,2017,Primary Transit,EPIC 201598502,126,-0.26,0.512,M3.0
EPIC 203826436 b,4.44117,,,2015,Primary Transit,EPIC 203826436,,-0.03,0.9,G3V
EPIC 203826436 c,6.42904,,,2015,Primary Transit,EPIC 203826436,,-0.03,0.9,G3V
EPIC 203826436 d,14.09189,,,2015,Primary Transit,EPIC 203826436,,-0.03,0.9,G3V
EPIC 204221263 b,4.01593,,,2016,Primary Transit,EPIC 204221263,,0.28,1.07,G2V
EPIC 204221263 c,10.56103,,,2016,Primary Transit,EPIC 204221263,,0.28,1.07,G2V
EPIC 205084841 b,11.310099,0.104,,2016,Primary Transit,EPIC 205084841,860.4,0.019,1.168,
EPIC 206011691 b,9.32414,0.0731,,2015,Primary Transit,EPIC 206011691,65,-0.11,0.64,M0
EPIC 206011691 c,15.5012,0.1026,,2015,Primary Transit,EPIC 206011691,65,-0.11,0.64,M0
EPIC 206061524 b,5.8797,0.0563,,2016,Primary Transit,EPIC 206061524,284.84,,,
EPIC 210894022 b,5.35117,0.0621,,2017,Radial Velocity,EPIC 210894022,210,-0.53,0.89,
EPIC 211331236 b,1.291563,0.0188,,2017,Primary Transit,EPIC 211331236,100,-0.22,0.532,M1.0V
EPIC 211331236 c,5.44425,0.0491,,2017,Primary Transit,EPIC 211331236,100,-0.22,0.532,M1.0V
EPIC 211391664 b,10.13675,0.0943,,2016,Primary Transit,EPIC 211391664,435,-0.2,1.074,F8V
EPIC 211418729 b,11.39109,0.09309,0,2017,Primary Transit,EPIC 211418729,481,0.41,0.832,
EPIC 211442297 b,20.273034,0.1367,0.137,2017,Primary Transit,EPIC 211442297,417,-0.22,0.831,
EPIC 211822797 b,21.169619,,0.18,2016,Primary Transit,EPIC 211822797,,,0.61,
EPIC 211913977 b,14.677286,,0.1,2016,Primary Transit,EPIC 211913977,,,0.8,
EPIC 211924657 b,2.644646,0.0266,,2017,Primary Transit,EPIC 211924657,80,-0.02,0.358,M3.0V
EPIC 211969807 b,1.97419,,0.18,2016,Primary Transit,EPIC 211969807,,,0.51,
EPIC 211970147 b,9.915615,,0.1,2016,Primary Transit,EPIC 211970147,,,0.77,
EPIC 212006344 b,2.219315,0.0288,,2017,Primary Transit,EPIC 212006344,74,0.37,0.644,
EPIC 212036875 b,5.16992,0.0621,0.134,2019,Primary Transit,EPIC 212036875,,-0.23,1.1241,
EPIC 212069861 b,30.9542,0.1641,,2017,Primary Transit,EPIC 212069861,156,-0.02,0.615,
EPIC 212737443 b,13.603,0.098,,2019,Primary Transit,EPIC 212737443,347.5,-0.137,0.69,
EPIC 212737443 c,65.55,0.28,,2019,Primary Transit,EPIC 212737443,347.5,-0.137,0.69,
EPIC 213715787 b,0.961917,0.0159,,2017,Primary Transit,EPIC 213715787,88,0.179,0.583,
EPIC 219388192 b,5.292569,0.0593,0.1893,2016,Primary Transit,EPIC 219388192,300,0.03,0.99,G
EPIC 220194974 b,4.38395,0.0454,,2017,Primary Transit,EPIC 220194974,121,-0.11,0.65,
EPIC 220194974 c,6.9226,0.0616,,2017,Primary Transit,EPIC 220194974,121,-0.11,0.65,
EPIC 220194974 d,9.7579,0.0774,,2017,Primary Transit,EPIC 220194974,121,-0.11,0.65,
EPIC 220501947 b,4.024866,0.0467,,2018,Primary Transit,EPIC 220501947,234,0.14,,K5 V
EPIC 220504338 b,5.817712,0.0575,0,2016,Primary Transit,EPIC 220504338,553.4,0.18,1.007,G
EPIC 220522664 b,11.332,0.083,,2017,Primary Transit,EPIC 220522664,118,0.11,0.595,M1.0V
EPIC 220598331 b,10.59357,0.0727,,2017,Primary Transit,EPIC 220598331,110,0.09,0.457,M2.5V
EPIC 220621087 b,3.835592,0.0365,,2017,Primary Transit,EPIC 220621087,62.7,-0.32,0.44,M1.5V
EPIC 228754001 b,9.1708,0.0916,0.29,2017,Primary Transit,EPIC 228754001,,-0.11,1.19,K
EPIC 228934525 b,3.67635,0.0408,,2017,Primary Transit,EPIC 228934525,133,0.19,0.672,M0.0V
EPIC 228934525 c,7.95478,0.0683,,2017,Primary Transit,EPIC 228934525,133,0.19,0.672,M0.0V
EPIC 246851721 b,6.180242,0.07239,,2018,Primary Transit,EPIC 246851721,376,0.139,1.324,F5V
EPIC 247267267 b,4.79507,0.04771,0,2018,Primary Transit,EPIC 247267267,107.6,0,0.63,
EPIC 248435473 b,0.658525,0.01283,,2018,Radial Velocity,EPIC 248435473,69.6,-0.064,0.67,K
EPIC 248435473 c,7.814,0.06674,0.041,2018,Radial Velocity,EPIC 248435473,69.6,-0.064,0.67,K
EPIC 248435473 d,14.69699,0.1017,0.043,2018,Radial Velocity,EPIC 248435473,69.6,-0.064,0.67,K
EPIC 248435473 e,19.482,0.1227,0.032,2018,Radial Velocity,EPIC 248435473,69.6,-0.064,0.67,K
EPIC 248545986 b,5.24,0.0441,,2018,Primary Transit,EPIC 248545986,49,-0.1,0.4,
EPIC 248545986 c,7.775,0.0576,,2018,Primary Transit,EPIC 248545986,49,-0.1,0.4,
EPIC 248545986 d,10.115,0.0685,,2018,Primary Transit,EPIC 248545986,49,-0.1,0.4,
EPIC 249622103 b,2.46746,0.03317,,2018,Primary Transit,EPIC 249622103,69,0.07,0.8,K3
EPIC 249622103 c,,0.06687,,2018,Primary Transit,EPIC 249622103,69,0.07,0.8,K3
EPIC 249622103 d,24.3662,0.1527,,2018,Primary Transit,EPIC 249622103,69,0.07,0.8,K3
EPIC 249801827 b,6.034,0.0513,,2018,Primary Transit,EPIC 249801827,70,-0.1,0.58,
EPIC 249801827 c,20.523,0.1159,,2018,Primary Transit,EPIC 249801827,70,-0.1,0.58,
EPIC 249889081 b,27.359,0.1768,,2018,Primary Transit,EPIC 249889081,76.3,0,0.64,
GJ 1061 b,3.204,0.021,0.31,2019,Radial Velocity,GJ 1061,3.6732,-0.08,0.12,M5.5V
GJ 1061 c,6.689,0.035,0.29,2019,Radial Velocity,GJ 1061,3.6732,-0.08,0.12,M5.5V
GJ 1061 d,12.434,0.052,0.54,2019,Radial Velocity,GJ 1061,3.6732,-0.08,0.12,M5.5V
GJ 1132 b,1.628931,0.0154,0,2015,Primary Transit,GJ 1132,12.04,-0.12,0.181,M3.5
GJ 1132 c,8.929,0.0476,0.27,2018,Radial Velocity,GJ 1132,12.04,-0.12,0.181,M3.5
GJ 1214 b,1.580404497,0.01411,0.27,2009,Primary Transit,GJ 1214,13,0.39,0.15,M
GJ 1265 b,3.6511,0.026,0.04,2018,Radial Velocity,GJ 1265,10.255,-0.04,0.178,M4.5V
GJ 143 b,35.61253,0.1932,0.188,2018,Primary Transit,GJ 143,16.33,0.003,0.76,K4.5V
GJ 15A b,11.4407,0.072,0.094,2014,Radial Velocity,GJ 15A,3.587,-0.32,0.375,M2V
GJ 160.2 b,9.7471,0.079,0.02,2014,Radial Velocity,GJ 160.2,,,0.69,M0V
GJ 163 b,8.6312,0.06,0.02,2012,Radial Velocity,GJ 163,15,,0.4,M3.5
GJ 163 c,25.637,0.124,0.03,2012,Radial Velocity,GJ 163,15,,0.4,M3.5
GJ 163 d,604,1.021,0.02,2013,Radial Velocity,GJ 163,15,,0.4,M3.5
GJ 163 e,349,0.7,0.03,2019,Radial Velocity,GJ 163,15,,0.4,M3.5
GJ 163 f,109.5,0.326,0.04,2019,Radial Velocity,GJ 163,15,,0.4,M3.5
GJ 176 b,8.7748,0.066,0.08,2007,Radial Velocity,GJ 176,9.42,-0.1,0.49,M2.5V
GJ 176 c,28.586,0.146,0.02,2009,Radial Velocity,GJ 176,9.42,-0.1,0.49,M2.5V
GJ 179 b,2288,2.41,0.21,2010,Radial Velocity,GJ 179,12.3,0.3,0.357,M3.5
GJ 179 c,3.4798,0.032,0.04,2019,Radial Velocity,GJ 179,12.3,0.3,0.357,M3.5
GJ 180 b,17.38,0.103,0.11,2014,Radial Velocity,GJ 180,,,0.43,M2V
GJ 180 c,24.329,0.129,0.09,2014,Radial Velocity,GJ 180,,,0.43,M2V
GJ 221 e,2.3946,0.03,0.03,2019,Radial Velocity,BD-06 1339,20,-0.14,0.7,K7V/M0V
GJ 229 A b,471,0.97,0.1,2014,Radial Velocity,GJ 229 A,,,0.58,M1 V
GJ 27.1 b,15.819,0.101,0.08,2014,Radial Velocity,GJ 27.1,,,0.53,M0.5V
GJ 273 b,18.64,0.09,0.03,2017,Radial Velocity,GJ 273,3.8,0.09,0.29,M3.5
GJ 273 c,4.72322,0.036,0.12,2017,Radial Velocity,GJ 273,3.8,0.09,0.29,M3.5
GJ 273 d,413.9,0.712,0.17,2019,Radial Velocity,GJ 273,3.8,0.09,0.29,M3.5
GJ 273 e,542,0.849,0.03,2019,Radial Velocity,GJ 273,3.8,0.09,0.29,M3.5
GJ 3021 b,133.71,0.49,0.511,2000,Radial Velocity,GJ 3021,17.62,0.1,0.9,G6 V
GJ 3138 b,5.974,0.057,0.11,2017,Radial Velocity,GJ 3138,,-0.3,0.681,M0
GJ 3138 c,1.22003,0.0197,0.19,2017,Radial Velocity,GJ 3138,,-0.3,0.681,M0
GJ 3138 d,257.8,0.698,0.32,2017,Radial Velocity,GJ 3138,,-0.3,0.681,M0
GJ 317 b,698.2,1.11,0.02,2007,Radial Velocity,GJ 317,15.1,0.36,0.42,M3.5
GJ 317 c,397.7,0.763,0.81,2007,Radial Velocity,GJ 317,15.1,0.36,0.42,M3.5
GJ 328 b,4100,4.5,0.37,2013,Radial Velocity,GJ 328,19.8,0,0.69,K7
GJ 3293 b,30.5987,0.14339,0.06,2014,Radial Velocity,GJ 3293,17.9,0.02,0.42,M2.5
GJ 3293 c,122.6196,0.36175,0.11,2014,Radial Velocity,GJ 3293,17.9,0.02,0.42,M2.5
GJ 3293 d,48.1345,0.194,0.12,2014,Radial Velocity,GJ 3293,17.9,0.02,0.42,M2.5
GJ 3293 e,13.2543,0.0821,0.21,2017,Radial Velocity,GJ 3293,17.9,0.02,0.42,M2.5
GJ 3323 b,5.3636,0.03282,0.23,2017,Radial Velocity,GJ 3323,,-0.27,0.164,M4
GJ 3323 c,40.54,0.1264,0.17,2017,Radial Velocity,GJ 3323,,-0.27,0.164,M4
GJ 3341 b,14.207,0.089,0.31,2014,Radial Velocity,GJ 3341,23.1,-0.09,0.47,M2.5
GJ 3470 b,3.336649,0.03557,0.114,2012,Primary Transit,GJ 3470,30.7,0.2,0.51,M1.5
GJ 3512 b,203.59,0.338,0.4356,2019,Radial Velocity,GJ 3512,9.489,-0.07,0.123,M5.5V
GJ 357 b,3.93086,0.033,0.047,2019,Primary Transit,GJ 357,9.444,-0.12,0.342,M2.5 V
GJ 357 c,9.1246,0.0607,0.072,2019,Radial Velocity,GJ 357,9.444,-0.12,0.342,M2.5 V
GJ 357 d,55.698,0.204,0.033,2019,Radial Velocity,GJ 357,9.444,-0.12,0.342,M2.5 V
GJ 3634 b,2.64561,0.0287,0.08,2011,Radial Velocity,GJ 3634,19.8,,0.45,M2.5
GJ 3779 b,3.0232,0.026,0.07,2018,Radial Velocity,GJ 3779,13.748,0,0.27,MRV
GJ 3942 b,6.905,0.0608,0.121,2017,Radial Velocity,GJ 3942,16.93,-0.04,0.63,M0
GJ 3998 b,2.64977,0.029,0,2016,Radial Velocity,GJ 3998,17.8,-0.16,0.5,M1
GJ 3998 c,13.74,0.089,0.049,2016,Radial Velocity,GJ 3998,17.8,-0.16,0.5,M1
GJ 422 b,26.161,0.119,0.05,2014,Radial Velocity,GJ 422,,,0.35,M3.5V
GJ 4276 b,13.35,0.082,0.043,2018,Radial Velocity,GJ 4276,21.35,0.12,0.406,M4
GJ 4276 c,6.675,0.052,0.07,2018,Radial Velocity,GJ 4276,21.35,0.12,0.406,M4
GJ 433 b,7.3697,0.06,0.05,2009,Radial Velocity,GJ 433,9.04,-0.22,0.48,M1.5
GJ 433 c,3693,3.6,0.17,2012,Radial Velocity,GJ 433,9.04,-0.22,0.48,M1.5
GJ 436 b,2.64394,0.02887,0.1912,2004,Primary Transit,GJ 436,10.2,-0.32,0.452,M2.5
GJ 536 b,8.7076,0.06661,0.08,2016,Radial Velocity,GJ 536,10.03,-0.08,0.52,M1
GJ 581 b,5.368,0.041,0.022,2005,Radial Velocity,GJ 581,6.21,-0.135,0.31,M2.5V
GJ 581 c,12.919,0.074,0.087,2007,Radial Velocity,GJ 581,6.21,-0.135,0.31,M2.5V
GJ 581 e,3.153,0.029,0.125,2009,Radial Velocity,GJ 581,6.21,-0.135,0.31,M2.5V
GJ 625 b,14.638,0.078399,0.13,2017,Radial Velocity,GJ 625,6.49,-0.38,0.3,M2
GJ 649 b,598.3,1.135,0.3,2009,Radial Velocity,GJ 649,10.34,0.08,0.54,M1.5
GJ 649 c,4.4762,0.043,0.2,2013,Radial Velocity,GJ 649,10.34,0.08,0.54,M1.5
GJ 667 C b,7.2004,0.0505,0.13,2009,Radial Velocity,GJ 667 C,6.84,-0.55,0.33,M1.5V
GJ 667 C c,28.14,0.125,0.02,2011,Radial Velocity,GJ 667 C,6.84,-0.55,0.33,M1.5V
GJ 667 C d,91.61,0.276,0.03,2012,Radial Velocity,GJ 667 C,6.84,-0.55,0.33,M1.5V
GJ 667 C e,62.24,0.213,0.02,2013,Radial Velocity,GJ 667 C,6.84,-0.55,0.33,M1.5V
GJ 667 C f,39.026,0.156,0.03,2013,Radial Velocity,GJ 667 C,6.84,-0.55,0.33,M1.5V
GJ 667 C g,256.2,0.549,0.08,2013,Radial Velocity,GJ 667 C,6.84,-0.55,0.33,M1.5V
GJ 674 b,4.6944,0.039,0.07,2007,Radial Velocity,GJ 674,4.54,-0.28,0.35,M2.5
GJ 676 A b,1052.1,1.812,0.323,2009,Radial Velocity,GJ 676 A,16.45,0.23,0.71,M0V
GJ 676 A c,7337,6.6,0.2,2012,Radial Velocity,GJ 676 A,16.45,0.23,0.71,M0V
GJ 676 A d,3.6,0.0413,0.15,2012,Radial Velocity,GJ 676 A,16.45,0.23,0.71,M0V
GJ 676 A e,35.37,0.187,0.24,2012,Radial Velocity,GJ 676 A,16.45,0.23,0.71,M0V
GJ 682 b,17.478,0.08,0.08,2014,Radial Velocity,GJ 682,,,0.27,M3.5V
GJ 682 c,57.32,0.176,0.1,2014,Radial Velocity,GJ 682,,,0.27,M3.5V
GJ 685 b,24.16,0.1344,,2019,Radial Velocity,GJ 685,14.42,-0.15,0.55,M0.5
GJ 687 b,38.14,0.16353,0.04,2014,Radial Velocity,GJ 687,4.5,,0.413,M3.5V
GJ 752 A b,105.9,0.3357,0.16,2018,Radial Velocity,GJ 752 A,5.9116,0,0.45,M2.5 V
GJ 785 b,74.72,0.32,0.13,2010,Radial Velocity,GJ 785,8.911,0.08,0.78,K1V
GJ 785 c,525.8,1.18,0.32,2011,Radial Velocity,GJ 785,8.911,0.08,0.78,K1V
GJ 832 b,3660,3.6,0.08,2008,Radial Velocity,GJ 832,4.94,-0.31,0.45,
GJ 832 c,35.67,0.162,0.03,2014,Radial Velocity,GJ 832,4.94,-0.31,0.45,
GJ 849 b,1914,2.35,0.012,2006,Radial Velocity,GJ 849,9.1,0.22,0.49,M3.5V
GJ 849 c,7049,,0.218,2013,Radial Velocity,GJ 849,9.1,0.22,0.49,M3.5V
GJ 86 b,15.766,0.11,0.046,2000,Radial Velocity,GJ 86,10.9,-0.24,0.8,K1V
GJ 876 b,61.03,0.208317,0,2000,Radial Velocity,GJ 876,4.7,0.05,0.334,M4 V
GJ 876 c,30.23,0.12959,0.002,2000,Radial Velocity,GJ 876,4.7,0.05,0.334,M4 V
GJ 876 d,1.94,0.02080665,0.081,2005,Radial Velocity,GJ 876,4.7,0.05,0.334,M4 V
GJ 876 e,124.69,0.3343,0.073,2010,Radial Velocity,GJ 876,4.7,0.05,0.334,M4 V
GJ 96 b,73.94,0.291,0.44,2018,Radial Velocity,GJ 96,,0.14,0.6,M0V
GJ 9827 b,1.2089819,0.0211,0,2017,Primary Transit,GJ 9827,30.3,-0.28,0.659,K6V
GJ 9827 c,3.648086,0.044,,2017,Primary Transit,GJ 9827,30.3,-0.28,0.659,K6V
GJ 9827 d,6.201472,0.0627,0,2017,Primary Transit,GJ 9827,30.3,-0.28,0.659,K6V
GP Com b,0.032,,,2016,Radial Velocity,GP Com,,,0.33,DBe D
Gl 378 b,3.822,0.039435,0.109,2019,Radial Velocity,Gl 378,14.96,0.06,0.56,M1
Gl 686 b,15.53,0.0912,0,2019,Radial Velocity,Gl 686,8.1593,-0.3,0.42,M1
Gliese 49 b,13.8508,0.0905,0.363,2019,Radial Velocity,Gliese 49,9.856,0.13,0.515,M1.5V
